GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bank-microservice,com.aline.bankmicroservice.specification,MemberSpecification,27,263,10,20,6,53,11,24,1,19
bank-microservice,com.aline.bankmicroservice.dto.request,MemberSearchCriteria.MemberSearchCriteriaBuilder,57,53,0,0,0,1,3,8,3,8
bank-microservice,com.aline.bankmicroservice.dto.request,UpdateBranch,360,55,70,0,2,10,48,10,13,10
bank-microservice,com.aline.bankmicroservice.dto.request,CreateBank,239,38,46,0,2,7,29,11,6,11
bank-microservice,com.aline.bankmicroservice.dto.request,UpdateBranch.UpdateBranchBuilder,72,38,0,0,0,1,6,5,6,5
bank-microservice,com.aline.bankmicroservice.dto.request,MemberUpdateRequest,766,0,128,0,20,0,103,0,39,0
bank-microservice,com.aline.bankmicroservice.dto.request,MemberSearchCriteria,34,53,0,0,2,9,9,9,9,9
bank-microservice,com.aline.bankmicroservice.dto.request,CreateBranch.CreateBranchBuilder,42,56,0,0,0,1,1,9,1,9
bank-microservice,com.aline.bankmicroservice.dto.request,MemberUpdateRequest.MemberUpdateRequestBuilder,206,0,0,0,1,0,19,0,19,0
bank-microservice,com.aline.bankmicroservice.dto.request,CreateBank.CreateBankBuilder,74,0,0,0,1,0,8,0,8,0
bank-microservice,com.aline.bankmicroservice.dto.request,CreateBranch,320,49,62,0,2,9,43,9,12,9
bank-microservice,com.aline.bankmicroservice.dto.response,MemberResponse,200,31,38,0,2,6,25,9,6,9
bank-microservice,com.aline.bankmicroservice.dto.response,MemberResponse.MemberResponseBuilder,62,0,0,0,1,0,7,0,7,0
bank-microservice,com.aline.bankmicroservice.controller,RootController,0,6,0,0,0,2,0,2,0,2
bank-microservice,com.aline.bankmicroservice.controller,BranchController,42,21,0,0,11,4,3,3,3,3
bank-microservice,com.aline.bankmicroservice.controller,BankController,0,71,0,0,0,15,0,6,0,6
bank-microservice,com.aline.bankmicroservice.controller,MemberController,18,22,0,0,4,4,2,3,2,3
bank-microservice,com.aline.bankmicroservice.exception,BankNotFoundException,4,0,0,0,2,0,1,0,1,0
bank-microservice,com.aline.bankmicroservice.service,ApplicantService,6,6,0,0,1,1,1,1,1,1
bank-microservice,com.aline.bankmicroservice.service,BankService,16,64,6,2,2,11,4,6,0,6
bank-microservice,com.aline.bankmicroservice.service,BranchService,0,105,1,1,0,20,1,6,0,6
bank-microservice,com.aline.bankmicroservice.service,MemberService,66,36,0,0,14,5,3,4,3,4
bank-microservice,com.aline.bankmicroservice,BankMicroserviceApplication,5,3,0,0,2,1,1,1,1,1
bank-microservice,com.aline.bankmicroservice.config,WebSecurityConfig,0,25,0,0,0,6,0,3,0,3
bank-microservice,com.aline.bankmicroservice.config,BeanConfig,0,7,0,0,0,2,0,2,0,2
